ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97","Allcancers","54987","[54439.6-55539.9]","108.1","84.7","23.61",
"C16","Stomach","6451","[6210.7-6700.6]","12.7","9.9","3.09",
"C33-34","Lung","6090","[5841.2-6349.4]","12.0","9.2","3.16",
"C18-21","Colorectum","5417","Notavailable","10.6","8.2","-",
"C50","Breast","4411","[4203.9-4628.3]","17.0","13.1","3.05",
"C61","Prostate","3846","[3659.0-4042.6]","15.4","11.9","6.57",
"C25","Pancreas","2639","[2478.6-2809.8]","5.2","4.0","1.32",
"C53","Cervixuteri","2490","[2316.3-2676.7]","9.6","7.4","1.65",
"C91-95","Leukaemia","2419","[2278.8-2567.8]","4.8","4.1","0.91",
"C22","Liver","2220","[2053.2-2400.3]","4.4","3.4","1.16",
"C82-86, C96","Non-Hodgkinlymphoma","2004","[1869.1-2148.6]","3.9","3.2","0.81",
"C70-72","Brain,centralnervoussystem","1650","[1524.5-1785.8]","3.2","2.8","0.55",
"C56","Ovary","1485","[1373.9-1605.1]","5.7","4.5","1.00",
"C88+C90","Multiplemyeloma","1035","[937.2-1143.0]","2.0","1.6","0.45",
"C64-65","Kidney","932","[834.8-1040.6]","1.8","1.5","0.40",
"C15","Oesophagus","842","[760.3-932.5]","1.7","1.2","0.47",
"C67","Bladder","699","[613.8-796.0]","1.4","0.99","0.45",
"C54","Corpusuteri","576","[495.3-669.9]","2.2","1.7","0.45",
"C32","Larynx","552","[477.2-638.5]","1.1","0.83","0.29",
"C43","Melanomaofskin","490","[424.2-566.1]","0.96","0.75","0.24",
"C73","Thyroid","489","[430.4-555.6]","0.96","0.74","0.26",
"C23","Gallbladder","459","[402.1-523.9]","0.90","0.69","0.23",
"C00-06","Lip,oralcavity","378","[312.7-456.9]","0.74","0.56","0.20",
"C81","Hodgkinlymphoma","251","[212.0-297.2]","0.49","0.41","0.09",
"C62","Testis","195","[147.4-258.0]","0.78","0.68","0.08",
"C09-10","Oropharynx","189","[152.7-234.0]","0.37","0.29","0.10",
"C60","Penis","162","[123.5-212.6]","0.65","0.56","0.17",
"C51","Vulva","134","[97.8-183.7]","0.52","0.34","0.15",
"C45","Mesothelioma","126","[102.4-155.0]","0.25","0.20","0.05",
"C07-08","Salivaryglands","108","[86.5-134.9]","0.21","0.16","0.06",
"C11","Nasopharynx","80","[62.0-103.2]","0.16","0.12","0.03",
"C46","Kaposisarcoma","57","[42.3-76.8]","0.11","0.09","0.02",
"C52","Vagina","46","[32.7-64.6]","0.18","0.12","0.04",
"C12-13","Hypopharynx","36","[24.4-53.1]","0.07","0.06","0.02",
